         Address,	       Bytes,	         RSS,	       Dirty,	  Mode,	Mapping
0000000000400000,	     1662976,	         812,	           0,	 r-x--,	chunk_server
0000000000796000,	       32768,	          32,	          32,	 rw---,	chunk_server
   [unallocated],	       32768,	           -,	           -,	     -,	-
000000000079E000,	        4096,	           4,	           4,	 rw---,	[ anon ]
   [unallocated],	        4096,	           -,	           -,	     -,	-
0000000005631000,	      409600,	         292,	         292,	 rw---,	[ anon ]
0000000005632150,	          29,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005632180,	          27,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005633B00,	         112,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005633B80,	          56,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005633BC0,	        4400,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005634D00,	           1,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005634D20,	           1,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005634D40,	           1,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005634D60,	           1,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005634D80,	           1,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005634DA0,	           1,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005634DC0,	           1,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005634DE0,	           1,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005634E00,	           1,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005634E20,	           1,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005634E40,	           1,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005634E60,	           1,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005634E80,	           1,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005634EA0,	           1,	           -,	           -,	 rw---,	0x2b8bfd9541dd
0000000005634EC0,	           1,	           -,	           -,	 rw---,	0x2b8bfd9541dd
